date,politician,medical,celebrity
2020-08-27,0.3,0.4546296296296296,NA
2020-08-28,0.08333333333333334,-0.25,NA
2020-08-29,0.6266666666666667,-1,NA
2020-08-30,NA,0.41666666666666663,NA
2020-08-31,-1,-0.36666666666666664,NA
2020-09-01,0.56,-0.029166666666666674,NA
2020-09-02,-0.05555555555555556,0.3666666666666667,NA
2020-09-03,NA,-0.2222222222222222,NA
2020-09-04,0.8666666666666667,0.1142857142857143,NA
2020-09-05,-0.06666666666666665,0.2857142857142857,NA
2020-09-06,NA,0.3333333333333333,NA
2020-09-07,0.4017857142857143,0.9444444444444444,NA
2020-09-08,0.5,0.3888888888888889,NA
2020-09-09,0.4666666666666667,-0.07037037037037037,NA
2020-09-10,0,0.25892857142857145,NA
2020-09-11,0.3961904761904762,0.3888888888888889,NA
2020-09-12,0,-0.3333333333333333,NA
2020-09-13,0,-0.12592592592592594,NA
2020-09-14,0.04761904761904761,-0.1761904761904762,NA
2020-09-15,0.3888888888888889,-0.0625,NA
2020-09-16,0.2518518518518518,0.41666666666666663,NA
2020-09-17,0.36904761904761907,-0.04242424242424243,NA
2020-09-18,0.44789915966386556,-0.25,NA
2020-09-19,0.45918367346938777,0.3,NA
2020-09-20,0.7333333333333334,-0.033333333333333326,NA
2020-09-21,0.6111111111111112,0.2619047619047619,NA
2020-09-22,-0.6428571428571429,0.16666666666666666,NA
2020-09-23,1,0.09166666666666667,NA
2020-09-24,0.41077097505668936,0.041666666666666664,NA
2020-09-25,0.16666666666666666,0.875,NA
2020-09-26,-0.01523809523809524,-0.3333333333333333,NA
2020-09-27,1,-0.16666666666666669,NA
2020-09-28,0.8888888888888888,0.5095238095238095,NA
2020-09-29,NA,0.13068783068783069,NA
2020-09-30,0.5666666666666667,0.32666666666666666,NA
2020-10-01,0.6666666666666666,0.29653679653679654,NA
2020-10-02,0.8333333333333334,-0.16666666666666669,NA
2020-10-03,NA,0.5,NA
2020-10-04,NA,-0.43333333333333335,NA
2020-10-05,0.6666666666666666,0.5892857142857143,1
2020-10-06,0.6,0,NA
2020-10-07,-0.3333333333333333,0.5404761904761904,NA
2020-10-08,0.22916666666666666,0.15497835497835497,NA
2020-10-09,NA,0.47619047619047616,NA
2020-10-10,0.19999999999999998,-0.05714285714285715,NA
2020-10-11,-0.3333333333333333,0.3767857142857143,NA
2020-10-12,0.8888888888888888,-0.1326530612244898,NA
2020-10-13,0.42857142857142855,-0.30476190476190473,NA
2020-10-14,0.5222222222222223,-0.3492063492063492,1
2020-10-15,0.4571428571428572,-0.13333333333333333,1
2020-10-16,0.675,0.7619047619047619,-0.02380952380952381
2020-10-17,-1,-0.26666666666666666,-1
2020-10-18,NA,0.25,0
2020-10-19,0.6666666666666666,-0.23333333333333334,1
2020-10-20,0,0.24484126984126983,NA
2020-10-21,0.19444444444444445,0.5416666666666666,-0.325
2020-10-22,0.2222222222222222,0.08787878787878788,NA
2020-10-23,0.4222222222222222,0.033333333333333326,NA
2020-10-24,-0.3333333333333333,-0.22222222222222224,NA
2020-10-25,0.3333333333333333,0.33333333333333337,NA
2020-10-26,0.23333333333333334,0.49166666666666664,NA
2020-10-27,0.358843537414966,-0.14102564102564102,NA
2020-10-28,0.6666666666666666,0.16376811594202897,NA
2020-10-29,0.41666666666666663,0.05518207282913165,NA
2020-10-30,0.5238095238095238,0.14714285714285713,1
2020-10-31,0.375,0.29217687074829934,NA
2020-11-01,0.1574074074074074,0.018518518518518514,NA
2020-11-02,0.31666666666666665,0.14222222222222222,NA
2020-11-03,0.4166666666666667,0.2772893772893773,NA
2020-11-04,0.25,0.4967032967032967,-1
2020-11-05,0.4107142857142857,0.8,0.3333333333333333
2020-11-06,0.2380952380952381,-0.23666666666666666,NA
2020-11-07,0.6666666666666666,0.4666666666666667,NA
2020-11-08,0.35555555555555557,0.1142857142857143,NA
2020-11-09,0.125,0.6385964912280702,NA
2020-11-10,1,0.36904761904761907,NA
2020-11-11,0.5829931972789115,0.26666666666666666,NA
2020-11-12,0,0.01895424836601307,NA
2020-11-13,0.6944444444444444,0.5,NA
2020-11-14,0.5,0.0816326530612245,NA
2020-11-15,0,0.37142857142857144,NA
2020-11-16,0.5829725829725829,0.19183673469387755,NA
2020-11-17,0.3333333333333333,0.5,NA
2020-11-18,0.22222222222222224,0.26977225672877847,NA
2020-11-19,-1,0.21428571428571427,NA
2020-11-20,0.5,0.2857142857142857,0.5
2020-11-21,NA,0.7333333333333333,NA
2020-11-22,NA,1,NA
2020-11-23,1,0.6293650793650793,NA
2020-11-24,0.375,0.25925925925925924,NA
2020-11-25,-0.6666666666666666,-0.07551020408163264,NA
2020-11-26,-1,0.36666666666666664,NA
2020-11-27,1,0.8333333333333334,NA
2020-11-28,-0.1111111111111111,-0.22916666666666666,NA
2020-11-29,-0.3333333333333333,-0.16666666666666666,NA
2020-11-30,0.82,0.29545454545454547,NA
2020-12-01,0.33630952380952384,-0.06666666666666667,NA
2020-12-02,0.375,0.2,NA
2020-12-03,0.4,0.6388888888888888,NA
2020-12-04,0.5416666666666666,0.16666666666666666,NA
2020-12-05,1,0.11904761904761905,NA
2020-12-06,NA,0.43333333333333335,NA
2020-12-07,NA,0.518452380952381,NA
2020-12-08,-0.08333333333333333,0.11978021978021978,NA
2020-12-09,0.00136054421768707,0.49444444444444446,NA
2020-12-10,0.4714285714285714,0.49696969696969695,NA
2020-12-11,0,0.2253968253968254,NA
2020-12-12,-0.16666666666666666,0.4666666666666667,NA
2020-12-13,0.16666666666666666,0.5619047619047619,NA
2020-12-14,0.39999999999999997,0.4,NA
2020-12-15,0.8,0.4230769230769231,NA
2020-12-16,-0.25,0.22116402116402115,NA
2020-12-17,0.5,0.3291316526610644,NA
2020-12-18,0.375,0.5125,NA
2020-12-19,NA,0.24,NA
2020-12-20,-1,0.7777777777777778,NA
2020-12-21,-0.45,0.2875,NA
2020-12-22,1,0.6666666666666666,NA
2020-12-23,0.14625850340136054,0.4417989417989418,NA
2020-12-24,NA,0.34319727891156465,NA
2020-12-25,0.5,0.004761904761904761,1
2020-12-26,NA,0.36666666666666664,NA
2020-12-27,0.42857142857142855,0.12222222222222222,NA
2020-12-28,-0.25,0.2111111111111111,NA
2020-12-29,-1,0.28958333333333336,NA
2020-12-30,0.6666666666666666,0.6736111111111112,NA
2020-12-31,0,0.5095238095238095,NA
2021-01-01,1,-0.1,NA
2021-01-02,NA,0.6,NA
2021-01-03,0.5555555555555556,0.3142857142857143,NA
2021-01-04,0.9,0.3907563025210084,NA
2021-01-05,0.35714285714285715,0.2462962962962963,NA
2021-01-06,-0.10952380952380952,0.2564625850340136,NA
2021-01-07,-0.024999999999999994,0.4595238095238095,NA
2021-01-08,-0.5,0.34,NA
2021-01-09,NA,-0.26666666666666666,0.5
2021-01-10,-0.26666666666666666,0.5850340136054422,NA
2021-01-11,NA,0.46190476190476193,NA
2021-01-12,NA,0.17857142857142858,NA
2021-01-13,-0.1111111111111111,0.4564102564102564,NA
2021-01-14,NA,0.5288888888888889,NA
2021-01-15,0.3333333333333333,0.425,NA
2021-01-16,NA,-0.5,NA
2021-01-17,NA,0.26666666666666666,NA
2021-01-18,0.35714285714285715,0.29166666666666663,NA
2021-01-19,NA,0.10416666666666667,NA
2021-01-20,0,0.5712121212121212,NA
2021-01-21,0.4,0.18,NA
2021-01-22,-0.1,0.14929971988795518,NA
2021-01-23,0,0.2857142857142857,NA
2021-01-24,-0.2,-0.08333333333333334,NA
2021-01-25,-0.6666666666666666,0.4666666666666667,NA
2021-01-26,0.25,0.08,NA
2021-01-27,1,0.2,NA
2021-01-28,0,0.20324675324675326,NA
2021-01-29,-0.25333333333333335,0.2361111111111111,NA
2021-01-30,0.5,0.3469387755102041,NA
2021-01-31,NA,0.18888888888888888,NA
2021-02-01,NA,0.3433333333333333,NA
2021-02-02,0,0.24705882352941178,NA
2021-02-03,NA,0.37083333333333335,NA
2021-02-04,0.2888888888888889,0.036155202821869487,NA
2021-02-05,0.8571428571428572,0.29333333333333333,NA
2021-02-06,NA,0.5,NA
2021-02-07,1,0.5428571428571428,NA
